"행정구역(시군구)별",2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"평창군",298,294,4,40,68,95,190,159,302,317,-15,51,57,93,194,173,317,270,47,27,73,90,217,153
"정선군",255,298,-43,58,65,96,132,144,303,278,25,56,70,83,177,139,234,225,9,47,61,78,126,100
"철원군",357,473,-116,105,31,33,221,335,403,416,-13,82,32,36,289,298,415,530,-115,71,32,30,312,429
"화천군",300,301,-1,56,75,82,169,163,559,327,232,60,92,82,407,185,240,439,-199,56,75,79,109,304
"양구군",271,255,16,47,43,57,181,151,389,242,147,53,56,58,280,131,191,325,-134,27,41,57,123,241
"인제군",357,346,11,67,68,68,222,211,335,315,20,49,75,57,211,209,311,305,6,45,65,77,201,183
"고성군",252,270,-18,30,108,136,114,104,619,315,304,45,294,156,280,114,296,416,-120,50,100,182,146,184
"양양군",262,272,-10,61,68,84,133,127,256,251,5,57,71,93,128,101,289,253,36,54,86,90,149,109
"충청북도",15601,15685,-84,7790,1768,1768,6043,6127,15333,15310,23,7216,2409,2409,5708,5685,15148,15060,88,7498,2096,2096,5554,5466
"청주시",8230,8584,-354,5115,628,493,2487,2976,7551,8017,-466,4690,541,556,2320,2771,7295,7638,-343,4488,521,564,2286,2586
"충주시",2407,2395,12,1477,162,194,768,724,2061,2009,52,1124,194,202,743,683,1990,1981,9,1104,177,158,709,719
"제천시",1427,1341,86,597,129,126,701,618,1044,1133,-89,564,90,95,390,474,1702,1696,6,1064,104,99,534,533
"청원군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"보은군",228,236,-8,35,53,78,140,123,211,204,7,48,52,58,111,98,212,254,-42,49,60,76,103,129
"옥천군",278,366,-88,48,26,56,204,262,326,296,30,47,28,28,251,221,264,249,15,36,29,24,199,189
"영동군",541,424,117,78,64,39,399,307,443,425,18,74,52,57,317,294,358,407,-49,72,25,42,261,293
"증평군",299,272,27,13,137,137,149,122,334,289,45,17,150,154,167,118,311,298,13,11,149,147,151,140
"진천군",709,494,215,85,240,145,384,264,1806,858,948,385,946,181,475,292,1448,760,688,306,653,211,489,243
"괴산군",300,370,-70,41,105,173,154,156,333,343,-10,49,110,146,174,148,279,278,1,36,89,119,154,123
"음성군",952,1017,-65,267,175,267,510,483,1030,1541,-511,186,213,883,631,472,1088,1306,-218,297,253,593,538,416
"단양군",230,186,44,34,49,60,147,92,194,195,-1,32,33,49,129,114,201,193,8,35,36,63,130,95
"충청남도",22636,21164,1472,9460,3092,3092,10084,8612,21108,19354,1754,8634,2933,2933,9541,7787,21017,19512,1505,8673,3021,3021,9323,7818
"천안시",8016,7305,711,4066,935,838,3015,2401,7363,6822,541,3847,838,795,2678,2180,7330,6865,465,3748,887,797,2695,2320
"공주시",1244,1308,-64,577,134,97,533,634,984,1081,-97,368,91,130,525,583,1299,1253,46,611,136,144,552,498
"보령시",885,866,19,358,114,128,413,380,930,887,43,410,117,144,403,333,823,821,2,359,127,120,337,342
"아산시",4220,3415,805,1548,774,776,1898,1091,3814,2977,837,1266,720,678,1828,1033,4018,3319,699,1589,801,723,1628,1007
"서산시",1749,1667,82,878,161,169,710,620,1623,1475,148,746,189,193,688,536,1374,1345,29,600,171,180,603,565
"논산시",1029,1127,-98,372,116,139,541,616,905,927,-22,315,102,109,488,503,1222,966,256,334,110,119,778,513
"계룡시",641,618,23,161,69,60,411,397,501,520,-19,116,50,47,335,357,523,496,27,107,30,39,386,350
"당진시",1639,1600,39,752,157,196,730,652,1786,1638,148,798,191,193,797,647,1484,1520,-36,664,148,197,672,659
"금산군",342,417,-75,67,16,33,259,317,345,376,-31,65,18,23,262,288,309,368,-59,61,15,23,233,284
"연기군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"논산군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부여군",467,497,-30,151,83,97,233,249,426,452,-26,134,90,83,202,235,443,389,54,112,81,73,250,204
"서천군",376,382,-6,124,38,37,214,221,321,311,10,88,39,25,194,198,281,343,-62,79,32,42,170,222
"청양군",215,227,-12,31,56,83,128,113,223,233,-10,47,57,78,119,108,234,231,3,29,68,87,137,115
"홍성군",864,743,121,203,248,153,413,387,932,770,162,262,234,161,436,347,820,761,59,230,220,169,370,362
"예산군",481,538,-57,96,128,192,257,250,439,491,-52,86,123,180,230,225,411,454,-43,76,126,199,209,179
"태안군",468,454,14,76,63,94,329,284,516,394,122,86,74,94,356,214,446,381,65,74,69,109,303,198
"당진군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"전라북도",18192,18741,-549,9267,3942,3942,4983,5532,16964,17650,-686,8718,3776,3776,4470,5156,17423,18172,-749,9530,3597,3597,4296,5045
"전주시",6706,6916,-210,3934,1438,1248,1334,1734,6187,6621,-434,3652,1266,1324,1269,1645,6391,6662,-271,3865,1239,1216,1287,1581
"군산시",2627,2864,-237,1611,297,363,719,890,2712,2853,-141,1719,342,288,651,846,2947,3035,-88,1940,348,260,659,835
"익산시",3460,3397,63,1765,609,649,1086,983,2918,3053,-135,1551,511,587,856,915,2545,2890,-345,1475,382,512,688,903
"정읍시",1351,1363,-12,874,165,160,312,329,1225,1179,46,726,190,174,309,279,1735,1633,102,1211,218,147,306,275
"남원시",620,657,-37,316,82,113,222,228,642,670,-28,289,112,123,241,258,647,702,-55,364,93,107,190,231
"김제시",785,718,67,289,300,225,196,204,722,721,1,288,271,242,163,191,655,748,-93,253,230,295,172,200
"완주군",949,831,118,116,566,474,267,241,834,742,92,95,525,439,214,208,818,740,78,66,547,458,205,216
"진안군",175,192,-17,24,62,99,89,69,204,173,31,31,93,86,80,56,196,169,27,36,90,82,70,51
"무주군",171,163,8,49,27,23,95,91,137,120,17,18,29,16,90,86,129,138,-9,22,31,23,76,93
"장수군",139,159,-20,25,44,58,70,76,122,140,-18,24,41,58,57,58,128,137,-9,10,50,49,68,78
